Prefix,Code,Type,Line,Station
0100,00193037,地铁,广佛线,东平
0100,00193038,地铁,广佛线,东平
0100,00193039,地铁,广佛线,东平
0100,00193040,地铁,广佛线,新城东
0100,00193041,地铁,广佛线,新城东
0100,00193042,地铁,广佛线,新城东
0100,00193043,地铁,广佛线,新城东
0100,00193044,地铁,广佛线,新城东
0100,00193045,地铁,广佛线,新城东
0100,00193046,地铁,广佛线,新城东
0100,00193047,地铁,广佛线,新城东
0100,00193048,地铁,1号线,体育西路
0100,00193049,地铁,1号线,体育西路
0100,00193050,地铁,1号线,体育西路
0100,00193051,地铁,1号线,体育西路
0100,00193052,地铁,1号线,体育西路
0100,00193053,地铁,1号线,体育西路
0100,00193054,地铁,1号线,体育西路
0100,00193055,地铁,1号线,体育西路
0100,00193056,地铁,1号线,体育西路
0100,00193057,地铁,1号线,体育西路
0100,00193058,地铁,1号线,体育西路
0100,00193059,地铁,1号线,体育西路
0100,00193060,地铁,1号线,体育西路
0100,00193061,地铁,1号线,体育西路
0100,00193062,地铁,1号线,体育西路
0100,00193063,地铁,1号线,体育西路
0100,00193064,地铁,1号线,体育西路
0100,00193065,地铁,1号线,体育西路
0100,00193066,地铁,1号线,体育西路
0100,00193067,地铁,1号线,体育西路
0100,00193068,地铁,1号线,体育西路
0100,00193069,地铁,1号线,体育西路
0100,00193070,地铁,1号线,体育西路
0100,00193071,地铁,1号线,体育西路
0100,00193072,地铁,1号线,西塱
0100,00193073,地铁,1号线,西塱
0100,00193074,地铁,1号线,西塱
0100,00193075,地铁,1号线,西塱
0100,00193076,地铁,1号线,西塱
0100,00193077,地铁,1号线,西塱
0100,00193078,地铁,1号线,西塱
0100,00193079,地铁,1号线,西塱
0100,00193080,地铁,1号线,西塱
0100,00193081,地铁,1号线,西塱
0100,00193082,地铁,1号线,西塱
0100,00193083,地铁,1号线,西塱
0100,00193084,地铁,1号线,西塱
0100,00193085,地铁,1号线,西塱
0100,00193086,地铁,1号线,西塱
0100,00193087,地铁,1号线,西塱
0100,00193088,地铁,1号线,西塱
0100,00193089,地铁,1号线,西塱
0100,00193090,地铁,1号线,西塱
0100,00193091,地铁,1号线,西塱
0100,00193092,地铁,1号线,西塱
0100,00193093,地铁,1号线,西塱
0100,00193094,地铁,1号线,西塱
0100,00193095,地铁,1号线,西塱
0100,00193096,地铁,1号线,坑口
0100,00193097,地铁,1号线,坑口
0100,00193098,地铁,1号线,坑口
0100,00193099,地铁,1号线,坑口
0100,00193100,地铁,1号线,坑口
0100,00193101,地铁,1号线,坑口
0100,00193102,地铁,1号线,坑口
0100,00193103,地铁,1号线,坑口
0100,00193104,地铁,1号线,坑口
0100,00193105,地铁,1号线,坑口
0100,00193106,地铁,1号线,坑口
0100,00193107,地铁,1号线,坑口
0100,00193108,地铁,1号线,坑口
0100,00193109,地铁,1号线,坑口
0100,00193110,地铁,1号线,坑口
0100,00193111,地铁,1号线,坑口
0100,00193112,地铁,1号线,坑口
0100,00193113,地铁,1号线,坑口
0100,00193114,地铁,1号线,坑口
0100,00193115,地铁,1号线,坑口
0100,00193116,地铁,1号线,坑口
0100,00193117,地铁,1号线,坑口
0100,00193118,地铁,1号线,坑口
0100,00193119,地铁,1号线,坑口
0100,00193120,地铁,1号线,坑口
0100,00193121,地铁,1号线,坑口
0100,00193122,地铁,1号线,坑口
0100,00193123,地铁,1号线,坑口
0100,00193124,地铁,1号线,坑口
0100,00193125,地铁,1号线,坑口
0100,00193126,地铁,1号线,坑口
0100,00193127,地铁,1号线,坑口
0100,00193128,地铁,1号线,坑口
0100,00193129,地铁,1号线,坑口
0100,00193130,地铁,1号线,坑口
0100,00193131,地铁,1号线,坑口
0100,00193132,地铁,1号线,坑口
0100,00193133,地铁,1号线,坑口
0100,00193134,地铁,1号线,花地湾
0100,00193135,地铁,1号线,花地湾
0100,00193136,地铁,1号线,花地湾
0100,00193137,地铁,1号线,花地湾
0100,00193138,地铁,1号线,花地湾
0100,00193139,地铁,1号线,花地湾
0100,00193140,地铁,1号线,花地湾
0100,00193141,地铁,1号线,花地湾
0100,00193142,地铁,1号线,花地湾
0100,00193143,地铁,1号线,花地湾
0100,00193144,地铁,1号线,花地湾
0100,00193145,地铁,1号线,花地湾
0100,00193146,地铁,1号线,花地湾
0100,00193147,地铁,1号线,花地湾
0100,00193148,地铁,1号线,花地湾
0100,00193149,地铁,1号线,花地湾
0100,00193150,地铁,1号线,花地湾
0100,00193151,地铁,1号线,花地湾
0100,00193152,地铁,1号线,花地湾
0100,00193153,地铁,1号线,花地湾
0100,00193154,地铁,1号线,花地湾
0100,00193155,地铁,1号线,花地湾
0100,00193156,地铁,1号线,花地湾
0100,00193157,地铁,1号线,花地湾
0100,00193158,地铁,1号线,花地湾
0100,00193159,地铁,1号线,花地湾
0100,00193160,地铁,1号线,花地湾
0100,00193161,地铁,1号线,花地湾
0100,00193162,地铁,1号线,花地湾
0100,00193163,地铁,1号线,花地湾
0100,00193164,地铁,1号线,花地湾
0100,00193165,地铁,1号线,芳村
